Vessel Name,Year,Tags,LOA,LBP,B,T,D,D_Upperdeck,DWT,GT,Displacement,C_B,HTS,V_Service,MCR,P_I,N_MainEngines,ME,Fuel consumption,Fuel auxilaries,P_Aux,N_prop,CPP?,Azi?,D_Prop,Prop_RPM,Skeg?,Bulbous Bow?,N_Bowramps,N_Sternramps,N_Sidedoor,N_Insideramps,N_Lifts,N_VehDecks,N_SemiDecks,N_HoistDecks,N_PasDecks,A_PasRelative,N_Pas,L_Voyage,N_Berths,N_Cabins,N_Crew_Total,N_Officers,L_Lane,L_LaneTrailer,L_LaneTrailer(or),L_LaneCar,L_LaneCar(or),L_TrainTrack,N_Cars,N_Cars(or),L_Car,N_Trailers,N_Trailers(or),L_Trailer,No. Bowtrusters,P_Bowthruster,Classification,HFO Tanks,LNG Tanks,DO Tanks,LO Tanks,FW Tanks,BW Tanks,Heeling Tanks,Cost,Significant Ship,Comments
-,-,-,m,m,m,m,m,m,t,t,t,-,%,knts,%,kW,-,-,t/day,t/day,kW,-,y/n,y/n,m,rpm,y/n,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,m,-,kW (each),-,m3,m3,m3,m3,m3,m3,m3,m$,Y/N,-
Prometheus,2001,-,212,198,25,6.6,9.9,15.25,6800,26995,-,-,-,30,-,50400,4, Wartsila 12V46C,178.6,-,9200,2,y,n,5.4,-,y,y,0,2,-,3,0,2,0,0,2,1.3,1000,-,200,52,87,-,-,500,-,1500,-,-,-,-,-,-,-,-,2,1300,GL,900,-,250,-,-,3800,-,-,Y,-
Danielle Casanova,2002,-,176,161.6,30.4,6.62,9.2,18.2,3400,44500,20100,-,90,24.8,80,37800,4, Wartsila 9L46C,150,10,-,2,y,n,5.2,154,y,y,1,2,-,-,-,1,0,1,5,4,2453,-,-,470,174,18,-,0,-,2000,-,-,-,-,-,-,-,-,2,1600,BV,1200,-,350,-,-,2000,-,-,Y,-
Hjaltland,2002,-,125,119,19.5,5.3,8,13.7,1560,12000,7300,-,-,24,85,21600,4, MaK 6M43,-,-,7040,2,y,n,4.1,176,y,y,1,1,-,1,-,1,1,-,2,1.8,600,-,-,100,42,10,-,450,-,115,-,-,-,-,-,-,-,-,2,900,LR,490,-,70,-,-,600,-,-,Y,-
La Superba,2002,-,211.5,186.21,30.4,7.8,10,35.65,9750,50400,-,-,-,28,-,67200,4, Wartsila 16V46C,-,-,9940,2,y,n,5.7,-,y,y,0,1,-,-,-,3,1,1,4,3.5,3000,-,-,567,-,-,-,2780,-,450,-,-,-,-,-,-,-,-,2,1500,RINA,1926,-,362,-,-,7851,-,-,Y,-
Mont St Michel,2002,-,173.95,162.25,28.5,6.2,9,14.85,6300,35592,-,-,-,21,85,21600,4, MaK 6M43,-,-,8060,2,y,n,4.65,155,y,y,1,1,-,1,-,2,1,1,3,2.4,2120,-,788,224,151,11,-,1180,-,2250,-,-,-,-,-,-,-,-,2,1500,BV,700,-,290,-,-,1400,-,-,Y,-
Romantica,2002,-,192.9,175.2,29,6.5,9.7,15.4,4500,39864,-,-,-,22,-,26240,4, Wartsila 16V32,-,-,12780,2,y,n,5,141,y,y,1,2,-,-,-,1,-,-,5,4.3,2500,-,2172,727,172,12,-,0,-,1000,-,-,-,-,-,-,-,-,2,1800,BV,1400,-,200,-,-,2500,-,-,Y,-
Stena Britannica,2002,-,210.8,197.2,29.3,6.3,9.5,15.6,9400,43500,-,-,40,22.2,85,25920,4, MAN 9L40/54,94.6,-,-,2,y,n,4.85,150,y,y,1,1,-,-,-,2,2,1,3,1.2,900,-,598,246,72,-,-,3050,-,450,-,-,-,-,-,-,-,-,2,2200,LR,9600,-,400,-,-,3000,-,-,Y,-
Color Fantasy,2004,cruise,223.7,202.7,35,6.8,9.5,21.9,5600,75000,-,-,-,22.3,90,31200,4,Wartsila 8L46B,-,-,17400,2,y,n,-,-,y,y,1,1,-,-,1,2,1,1,4,3.4,2750,-,-,-,250,-,-,1270,-,2500,-,-,-,-,-,-,-,-,3,2200,DNV,-,-,-,-,-,-,-,-,Y,-
Hamanasu,2004,-,224.82,208,26,7.2,10,20.4,5824,34181,-,-,-,30.5,90,35200,2,Wartsila 12V46C,193,-,-,1,y,y,-,-,y,y,0,3,-,2,-,2,1,0,3,1.7,850,-,-,180,60,10,-,2000,-,300,-,-,-,-,-,-,-,-,2,1200,JG,1247,-,148,-,-,4251,-,-,Y,-
Nuraghes,2004,-,214,192.44,26.4,6.9,10,15.29,3900,40050,-,-,100,29.5,85,51360,4,Wartsila 12V46C,164,,-,2,y,n,5.6,-,y,y,0,2,-,3,-,3,-,1,2,2,2900,-,-,360,90,-,-,2000,-,0,-,-,-,-,-,-,-,-,2,1500,RINA,1000,-,90,-,-,3000,-,-,Y,-
